iteration,before,after,diff
809,9243468,9243496,28, 0
810,9243712,9243740,28, 0
811,9243958,9243985,27, 0
812,9244202,9244230,28, 0
813,9244446,9244473,27, 0
814,9244692,9244719,27, 0
815,9244938,9244965,27, 0
816,9245183,9245210,27, 0
817,9245433,9245460,27, 0
818,9245685,9245712,27, 0
819,9245937,9245964,27, 0
820,9246190,9246218,28, 0
821,9246441,9246468,27, 0
822,9246691,9246719,28, 0
823,9246940,9246967,27, 0
824,9247190,9247217,27, 0
825,9247439,9247466,27, 0
826,9247689,9247717,28, 0
827,9247941,9247968,27, 0
828,9248190,9248218,28, 0
829,9248440,9248468,28, 0
830,9248691,9248719,28, 0
831,9248943,9248971,28, 0
832,9249192,9249220,28, 0
833,9249442,9249469,27, 0
834,9249692,9249720,28, 0
835,9249941,9249968,27, 0
836,9250191,9250218,27, 0
837,9250441,9250468,27, 0
838,9250689,9250717,28, 0
839,9250939,9250966,27, 0
840,9251189,9251217,28, 0
841,9251439,9251467,28, 0
842,9251689,9251717,28, 0
843,9251938,9251966,28, 0
844,9252188,9252215,27, 0
845,9252437,9252465,28, 0
846,9252687,9252714,27, 0
847,9252936,9252964,28, 0
848,9253186,9253213,27, 0
849,9253438,9253466,28, 0
850,9253690,9253717,27, 0
851,9253940,9253968,28, 0
852,9254190,9254218,28, 0
853,9254439,9254468,29, 0
854,9254688,9254715,27, 0
855,9254938,9254965,27, 0
856,9255188,9255215,27, 0
857,9255438,9255465,27, 0
858,9255687,9255714,27, 0
859,9255936,9255964,28, 0
860,9256186,9256213,27, 0
861,9256435,9256463,28, 0
862,9256686,9256713,27, 0
863,9256938,9256966,28, 0
864,9257188,9257215,27, 0
865,9257436,9257464,28, 0
866,9257686,9257714,28, 0
867,9257936,9257963,27, 0
868,9258188,9258215,27, 0
869,9258438,9258466,28, 0
870,9258687,9258714,27, 0
871,9258935,9258963,28, 0
872,9259185,9259212,27, 0
873,9259434,9259462,28, 0
874,9259683,9259710,27, 0
875,9259933,9259961,28, 0
876,9260182,9260209,27, 0
877,9260431,9260459,28, 0
878,9260680,9260707,27, 0
879,9260928,9260957,29, 0
880,9261177,9261204,27, 0
881,9261427,9261454,27, 0
882,9261676,9261703,27, 0
883,9261925,9261952,27, 0
884,9262173,9262201,28, 0
885,9262423,9262450,27, 0
886,9262672,9262699,27, 0
887,9262921,9262948,27, 0
888,9263169,9263197,28, 0
889,9263418,9263446,28, 0
890,9263668,9263694,26, 0
891,9263915,9263943,28, 0
892,9264165,9264192,27, 0
893,9264413,9264442,29, 0
894,9264663,9264689,26, 0
895,9264911,9264938,27, 0
896,9265161,9265187,26, 0
897,9265408,9265436,28, 0
898,9265657,9265684,27, 0
899,9265906,9265934,28, 0
900,9266155,9266182,27, 0
901,9266403,9266431,28, 0
902,9266653,9266680,27, 0
903,9266900,9266928,28, 0
904,9267149,9267176,27, 0
905,9267397,9267425,28, 0
906,9267646,9267673,27, 0
907,9267895,9267922,27, 0
908,9268143,9268170,27, 0
909,9268391,9268419,28, 0
910,9268640,9268667,27, 0
911,9268888,9268916,28, 0
912,9269138,9269164,26, 0
913,9269385,9269413,28, 0
914,9269634,9269661,27, 0
915,9269882,9269910,28, 0
916,9270131,9270159,28, 0
917,9270380,9270407,27, 0
918,9270629,9270656,27, 0
919,9270877,9270904,27, 0
920,9271126,9271153,27, 0
921,9271375,9271402,27, 0
922,9271623,9271650,27, 0
923,9271872,9271899,27, 0
924,9272121,9272148,27, 0
925,9272374,9272402,28, 0
926,9272623,9272650,27, 0
927,9272871,9272899,28, 0
928,9273121,9273148,27, 0
